,station,sensor_type,value,data_flag,units,date,month,year,name,Latitude,Longitude,River_Basin,HR_NAME,capacity
212,HVS,STORAGE,560500,r,AF,2002-03-01,3.0,2002.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
213,HVS,STORAGE,590400, ,AF,2002-04-01,4.0,2002.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
214,HVS,STORAGE,583800, ,AF,2002-05-01,5.0,2002.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
215,HVS,STORAGE,595000, ,AF,2002-06-01,6.0,2002.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
216,HVS,STORAGE,582700, ,AF,2002-07-01,7.0,2002.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
217,HVS,STORAGE,561200,r,AF,2002-08-01,8.0,2002.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
218,HVS,STORAGE,559600, ,AF,2002-09-01,9.0,2002.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
219,HVS,STORAGE,564800, ,AF,2002-10-01,10.0,2002.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
220,HVS,STORAGE,583900, ,AF,2002-11-01,11.0,2002.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
221,HVS,STORAGE,558900, ,AF,2002-12-01,12.0,2002.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
222,HVS,STORAGE,546700, ,AF,2003-01-01,1.0,2003.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
223,HVS,STORAGE,537100, ,AF,2003-02-01,2.0,2003.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
224,HVS,STORAGE,572900, ,AF,2003-03-01,3.0,2003.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
225,HVS,STORAGE,540800, ,AF,2003-04-01,4.0,2003.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
226,HVS,STORAGE,591500, ,AF,2003-05-01,5.0,2003.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
227,HVS,STORAGE,596100, ,AF,2003-06-01,6.0,2003.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
228,HVS,STORAGE,591100, ,AF,2003-07-01,7.0,2003.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
229,HVS,STORAGE,595800, ,AF,2003-08-01,8.0,2003.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
230,HVS,STORAGE,595600, ,AF,2003-09-01,9.0,2003.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
231,HVS,STORAGE,562100, ,AF,2003-10-01,10.0,2003.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
232,HVS,STORAGE,564900, ,AF,2003-11-01,11.0,2003.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
233,HVS,STORAGE,560300, ,AF,2003-12-01,12.0,2003.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
234,HVS,STORAGE,516200, ,AF,2004-01-01,1.0,2004.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
235,HVS,STORAGE,510600,,AF,2004-02-01,2.0,2004.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
236,HVS,STORAGE,556500, ,AF,2004-03-01,3.0,2004.0,LAKE HAVASU,34.317,-114.156,COLORADO R,Colorado River,648000.0
