,date,reservoir_storage,res_percentile,total_storage,capacity,reporting,value_period,month,day,export_basin,SWDI,SWC,snow_pctl
147,2003-04-30,22577123.0,0.5,28824278.975080565,29776839.0,1.0,28824278.975080565,4,30,delta_basin,0.5333333333333333,6235233.109151948,0.5333333333333333
148,2003-05-31,24206742.0,0.5666666666666668,30198763.084454168,29776839.0,1.0,30198763.084454168,5,31,delta_basin,0.7333333333333334,5979237.624868347,0.7000000000000001
149,2003-06-30,25340714.0,0.6666666666666667,25783406.61414643,29776839.0,1.0,25783406.61414643,6,30,delta_basin,0.6666666666666667,429310.3096093402,0.5
150,2003-07-31,24648339.0,0.6666666666666667,24667059.407850713,29776839.0,1.0,24667059.407850713,7,31,delta_basin,0.6666666666666667,5703.743094085085,0.5
151,2003-08-31,21590404.0,0.6333333333333334,21684903.597705353,29776839.0,1.0,21684903.597705353,8,31,delta_basin,0.6333333333333334,83097.81315394632,0.5
152,2003-09-30,19470669.0,0.6333333333333334,19525609.9522951,29776839.0,1.0,19525609.9522951,9,30,delta_basin,0.6666666666666667,44658.58921334226,0.5
153,2003-10-31,18627456.0,0.6333333333333334,18678507.599287618,29719798.0,1.0,18678507.599287618,10,31,delta_basin,0.6333333333333334,5444.10682431333,0.5
154,2003-11-30,17819869.0,0.6,18538793.092630286,29776839.0,1.0,18538793.092630286,11,30,delta_basin,0.6,709513.508786075,0.8333333333333335
155,2003-12-31,17726905.0,0.6,20075561.016978525,29776839.0,1.0,20075561.016978525,12,31,delta_basin,0.7000000000000001,2339294.526958549,0.7333333333333334
156,2004-01-31,19044131.0,0.6666666666666667,25277521.528051898,29776839.0,1.0,25277521.528051898,1,31,delta_basin,0.8666666666666667,6223333.417558236,0.8
157,2004-02-29,20435233.0,0.6,28375177.49409353,29776839.0,1.0,28375177.49409353,2,29,delta_basin,0.6666666666666667,7929152.749579447,0.6666666666666667
158,2004-03-31,22312658.0,0.6666666666666667,31512838.508540206,29776839.0,1.0,31512838.508540206,3,31,delta_basin,0.6,9188397.30525761,0.6
159,2004-04-30,23710932.0,0.7000000000000001,28961496.37459945,29776839.0,1.0,28961496.37459945,4,30,delta_basin,0.5666666666666668,5238042.749799048,0.3666666666666667
160,2004-05-31,23903319.0,0.5333333333333333,24913110.129911654,29776839.0,1.0,24913110.129911654,5,31,delta_basin,0.43333333333333335,997167.9064971444,0.33333333333333337
161,2004-06-30,22961194.0,0.43333333333333335,22976854.421500318,29776839.0,1.0,22976854.421500318,6,30,delta_basin,0.43333333333333335,3534.729594267611,0.5
162,2004-07-31,20576173.0,0.4,20588713.240608316,29776839.0,1.0,20588713.240608316,7,31,delta_basin,0.4,1674.0663839470749,0.5
163,2004-08-31,17779889.0,0.4,17790914.25153751,29776839.0,1.0,17790914.25153751,8,31,delta_basin,0.4,1635.780931681317,0.5
164,2004-09-30,15954473.0,0.4,15964219.887186548,29776839.0,1.0,15964219.887186548,9,30,delta_basin,0.4,1321.409656009303,0.5
165,2004-10-31,15186202.0,0.4,15642041.40041937,29776839.0,1.0,15642041.40041937,10,31,delta_basin,0.43333333333333335,447819.642967951,0.5
166,2004-11-30,15002511.0,0.43333333333333335,16580352.120090764,29776839.0,1.0,16580352.120090764,11,30,delta_basin,0.5,1569918.3689392735,1.0
167,2004-12-31,15355520.0,0.43333333333333335,18222998.028870754,29776839.0,1.0,18222998.028870754,12,31,delta_basin,0.46666666666666673,2859368.8554289397,0.8333333333333335
